Date,A,B,C,D,E,F,G,H,I
Jan-70,0.2,13.9,158.2,8.4,140.9,193,7.1,117.8,175.6
Feb-70,0.5,22.4,116.1,1.1,27.6,61,2.2,75.6,150.4
Mar-70,3.9,18.3,129.7,1,121.6,63.5,0.6,46.9,158.7
Apr-70,2.8,4.9,101.9,0.4,74.1,29.3,0.1,4.4,31
May-70,2.1,8.1,95.1,0.1,23.6,11,0.1,4.3,12
Jun-70,0.8,0.4,24.5,0.5,6.8,0.1,0,0.1,1.2
Jul-70,0.3,0,11.7,1.2,2.4,0.4,0.2,0.1,1.1
Aug-70,0.2,0.3,15.1,0.1,7.3,0.5,0,0,1.3
Sep-70,0.2,0.3,37.8,1.5,32,15.8,0.4,2.7,12.9
Oct-70,1.6,7.3,78.7,0.3,66.7,11.2,0.5,8.3,15.8
Nov-70,1.5,0.5,52.1,0.4,47.2,8.1,0,0.7,15.8
Dec-70,0.9,2,58,1.2,50.1,36.9,0.5,12.5,78.2
Jan-71,0.8,5.5,73.7,0.4,39.7,72,2.8,71.2,133.5
Feb-71,6.9,39.4,145.7,2.9,88.5,91.8,0.7,70,157.4
Mar-71,59.7,244.7,409.6,3.2,169.4,114.6,0,49.8,92.3
Apr-71,3.2,28.7,113.9,0.4,39.2,27.9,0.3,20.3,24
May-71,0.3,1.6,46.8,1.2,8.9,1.4,0.5,0.6,2.8
Jun-71,0.2,1.4,43.6,1.3,3.7,0.3,0.2,0,0.8
Jul-71,0.1,0.1,15.2,0.3,1.2,0.5,0.1,0,0
Aug-71,0.3,0.4,18.7,1.8,15.7,1.4,2.4,0,2
Sep-71,0.7,0.2,32.9,0.2,14.6,2.9,0.4,0,0.2
Oct-71,1.3,1,51.5,0.2,25.4,7.4,0,1.2,7.4
Nov-71,0.3,1.2,29.8,0,21.5,6.7,0.1,2.6,11.2
Dec-71,1.3,3.4,81.7,0.6,65.9,48,4.1,44.5,95.7
Jan-72,1.3,11.8,93.5,2.2,74.1,115.1,10,144.8,200.7
Feb-72,4.3,56.5,167.4,6.7,98.4,96,8,133.2,150.2
Mar-72,144.1,382.7,390.1,11.2,238.2,211.6,4.4,164.6,179.8
Apr-72,5.4,31,136.6,0.1,41.7,42.3,0.2,8.3,30
May-72,1,5.1,62.8,0.2,11.5,2.4,0.4,0,0.7
Jun-72,0.3,4.9,17.4,0.3,4.1,0.1,0.4,0.8,0.4
Jul-72,0.1,0.4,5.1,0.2,3.2,0.9,3.9,1.3,0.3
Aug-72,0.5,0.8,15.6,0.6,4.9,0.3,2.1,0,0.6
Sep-72,0.3,0.3,17,0.3,10.2,10.1,3.5,5.9,32.2
Oct-72,1.1,1.1,27.3,0.1,14.6,17.6,1.1,24.8,29.2
Nov-72,0.4,1.4,52.7,1,27.6,13.6,1.5,1.3,25.7
Dec-72,0.9,10.2,112,3.6,56.1,51.3,1.5,33.2,86.8
Jan-73,12.4,151.6,126.1,8.9,126.6,101.8,6.4,91.8,210.6
Feb-73,15.9,99.5,212,4.2,72.7,86.5,15.5,95.9,157.4
Mar-73,20.1,91.3,253.4,3.9,127.7,109.9,5.5,97,169.4
Apr-73,12.7,40.8,210.6,0.6,79.7,45.9,0.4,22.1,70.1
May-73,0.5,2.7,67.7,0,28.6,7.4,0,0.3,7.4
Jun-73,0.6,0.3,36.3,0.1,6,0.5,0.8,0.8,0.3
Jul-73,0.1,0.3,15.6,0.1,6.2,0.1,0.3,0,2.6
Aug-73,0.1,0.3,23.2,0,7.4,3,1.5,3.6,9
Sep-73,0.7,2.8,42.6,0.2,35.6,8.4,1,13.8,32.3
Oct-73,0.4,0.3,46.4,0,38.6,11.3,0.2,0.4,11.8
Nov-73,0.3,1.1,39.2,0.1,35.7,12.1,0.2,5.8,25.8
Dec-73,0.6,1.2,88,1.2,66.5,54.1,0.6,7.5,40.5
Jan-74,2,9.5,95.7,3.6,56.8,90.7,10.4,120.3,249
Feb-74,4.9,25.2,211.7,3.3,103.8,96.3,3.8,75.9,139.5
Mar-74,6.9,5.7,137.7,2.5,49,90.8,1,38.4,71.4
Apr-74,2.3,3.8,75.4,0.2,25.3,11.1,0.9,12,64.2
May-74,0.4,4.6,28.8,0,5,2.5,0,0.5,4.3
Jun-74,0.6,2.6,32.4,0.5,8.4,2.8,0.2,2.8,13
Jul-74,0.1,0,14.1,0.2,4.1,0.2,0.2,0.2,0.3
Aug-74,2.3,0.9,16.5,0.6,5,5,2.9,30.9,72.9
Sep-74,2.1,0.8,34.6,0,16.2,3.3,1.2,1.3,9.1
Oct-74,0.8,2.8,48.6,0,18.5,2.4,0.2,0,8.2
Nov-74,0.2,1.3,52,0.1,17.6,9.1,1.1,2.3,10.9
Dec-74,0.1,0.2,46.2,0.5,25.9,24.9,1.6,13.2,53.8
Jan-75,3.1,9.5,98.3,1.9,85.9,38.1,5.7,61.4,167.8
Feb-75,9.5,61.8,272.4,3.8,99.6,80.9,5.8,91.8,173.7
Mar-75,25.9,160.7,302.5,4.6,157.7,129.6,2.4,90.8,150.2
Apr-75,4.1,28.6,149.5,0.2,50.7,20.6,0,7.8,18.4
May-75,0.2,1.6,78.3,0.1,17.2,10.3,0,2.3,14.8
Jun-75,0.7,1.4,50.3,0.3,7.8,2.5,0.2,2.3,2
Jul-75,0.1,0.4,22.2,0.7,1.2,1.7,0,0.2,0.1
Aug-75,1.7,2.8,45.9,0.5,12.9,3.5,0.1,0.3,0.5
Sep-75,0.2,0.5,42.9,0.2,24.9,7.2,0.5,0.4,5.6
Oct-75,1.8,4.3,119,0.2,33.9,6.5,0.2,1.2,19.7
Nov-75,0.3,0.9,36.1,0.1,36.9,13.4,0.5,0.8,5
Dec-75,0,0.1,19.1,0.9,29.3,41.2,1.4,36.8,109.9
Jan-76,29.3,58.8,223.6,6.1,107,105.1,14.4,100.9,199.8
Feb-76,8.3,66.5,304.8,6.4,87.4,123.4,2.6,82,131
Mar-76,7.2,68.8,293.6,0.2,70.2,110,0.7,54.4,119.7
Apr-76,2.7,30.8,133.9,0.1,29.6,14.8,0,3,25
May-76,1.6,12.4,59.1,0.2,11.1,2.8,0,1.8,10.1
Jun-76,0.2,1.1,32.4,0.4,12.7,1.7,2.1,0,2.9
Jul-76,0.3,0,9,0.1,0.9,1.9,1.2,1.1,5.5
Aug-76,0.2,0.2,6.8,0.5,2.6,4.5,4,2,10
Sep-76,0.2,0,10.7,0.5,4.2,6.4,2.5,16.8,53.8
Oct-76,0.2,0,16,0.2,10.8,0.7,0.3,0,3.1
Nov-76,0,0.2,24.6,0,11.2,0.7,0.1,0,2
Dec-76,1.5,0.4,72.7,0.8,33.7,19.2,0.4,7.3,63.1
Jan-77,3.7,11.4,176.2,0.8,78.8,29.4,2.3,31,60.3
Feb-77,21.3,89,204.2,7.2,150.8,150.9,3.4,120.8,226.2
Mar-77,7.9,111.3,196.8,0.6,80.6,148.2,2.3,71.8,162.5
Apr-77,9.9,21.5,162,0,28,18.6,0,0.9,5.6
May-77,2.4,10.7,26.2,0.1,16.3,3.5,0.1,0.2,1.3
Jun-77,1.9,0.3,29.1,0.1,0.4,0.2,0,0,0.2
Jul-77,1.4,0.4,3.9,0.4,2.4,0.4,0.6,0.3,5
Aug-77,1.3,0,8.1,0,0.9,0.1,0.6,0.3,2.5
Sep-77,2.2,2.6,25.1,0.4,7.2,5.4,0.7,12.9,16.7
Oct-77,0.3,1.2,30,0.1,14.3,2.8,0.1,2.9,26.9
Nov-77,0.4,0.4,39,0.2,28.7,24.9,0.2,10.3,60.5
Dec-77,1.7,0.7,63.5,0.2,42.1,21.5,0.2,29.4,54.4
Jan-78,0.9,2.3,51.1,1.2,30.6,40.3,1.4,61.2,167.8
Feb-78,5.3,17,117.6,0.9,55.8,37.3,1,15.4,61
Mar-78,10,75.7,152.9,1.6,59.1,55.5,0.4,34.8,58.5
Apr-78,0.6,6.3,98.8,0,24.1,16.4,0.3,12.1,48.6
May-78,1.5,1.9,64.1,0,12.6,2.6,0,0,0
Jun-78,0.4,0.2,11.6,0,0.4,0.3,0.4,0,0.6
Jul-78,0.7,0,10.2,0.2,2.5,0.2,0.1,1.1,2.3
Aug-78,0,0.1,5.4,0.3,1.2,0.6,0.6,0.1,0.9
Sep-78,0.7,0.5,33.1,0.1,23.7,3.6,0.5,0,6.3
Oct-78,0.3,0.1,14.8,0.1,14,7,0.1,1.1,15.4
Nov-78,0.3,0.2,26.4,0.1,19.8,12.8,1.1,18,63.6
Dec-78,0.7,0.5,41.5,0.1,36,19.5,0,4.4,72.4
Jan-79,1.3,4.8,104.5,0.1,19.7,25.3,0.7,23.4,91.8
Feb-79,0.5,4.4,125.3,0.1,49.7,72.9,0,27.6,54
Mar-79,3.9,43.5,293.5,19.1,152.8,108.6,3.6,84.8,157.5
Apr-79,2.1,7.8,98,0.1,43.3,10.3,0,0.4,22.9
May-79,0.8,1.5,32.7,0.1,13.1,1.2,0,0,0.5
Jun-79,0,0,7.1,0.1,0.5,1.3,0,0,3.1
Jul-79,0,0.2,8.6,0,1.6,0.4,0,0,2.1
Aug-79,0.6,0,26.7,0.1,2,0.6,0,0.1,3.5
Sep-79,0.2,0.9,32.8,0,6.1,1.4,0.1,0,1.3
Oct-79,0,0.2,9.1,0,8.5,3.1,0.1,10.2,42.1
Nov-79,0,0.1,9.4,0,6,3,0.9,4.8,30.1
Dec-79,0,0.5,21.7,0.1,14.2,19.3,0.3,21.2,77.7
Jan-80,0.1,7.7,85.8,0.3,34.8,38.1,0.1,29.5,67.6
Feb-80,0.6,4.8,90.7,0.3,19.4,38.5,2.9,28.1,53.2
Mar-80,5.2,32.4,99.8,2.6,48,57.1,0.6,59.7,112.2
Apr-80,2.2,36.6,128.5,0,17.5,8.6,0,1.2,9.4
May-80,0.1,2,37.1,0,4.7,3.6,0,0.2,1.4
Jun-80,0,0.1,6,0.3,1.3,0.8,0,0,0
Jul-80,0,0,5.7,0,0.2,2.6,1.4,2.7,4.3
Aug-80,0,0,5.8,0,3.2,3.8,0.2,0,4.4
Sep-80,0,0,9.2,0,1.7,3.4,0.2,3.7,21.4
Oct-80,0.9,4.9,97.7,0.5,66.6,30.4,0.1,19.8,61.5
