Date,P,PET
Jan-70,230.5,43.0
Feb-70,48.5,40.9
Mar-70,74.2,43.4
Apr-70,61.1,36.7
May-70,19.0,28.2
Jun-70,1.7,23.8
Jul-70,1.4,22.3
Aug-70,3.2,26.7
Sep-70,50.7,30.7
Oct-70,35.3,36.1
Nov-70,21.6,34.9
Dec-70,92.3,39.3
Jan-71,94.4,39.9
Feb-71,115.5,36.9
Mar-71,189.0,38.8
Apr-71,43.0,32.6
May-71,1.7,26.6
Jun-71,2.2,21.5
Jul-71,0.6,22.8
Aug-71,10.3,24.6
Sep-71,4.6,27.5
Oct-71,18.5,33.9
Nov-71,15.4,36.6
Dec-71,98.2,38.9
Jan-72,131.6,42.3
Feb-72,164.0,41.3
Mar-72,288.5,40.8
Apr-72,50.6,35.6
May-72,3.1,31.4
Jun-72,1.3,27.0
Jul-72,6.9,29.0
Aug-72,1.7,29.5
Sep-72,14.2,33.4
Oct-72,31.8,39.2
Nov-72,20.8,40.6
Dec-72,84.5,46.0
Jan-73,148.5,50.0
Feb-73,130.0,44.0
Mar-73,190.5,44.6
Apr-73,85.3,36.3
May-73,15.9,29.6
Jun-73,4.0,22.7
Jul-73,3.5,22.9
Aug-73,5.2,24.6
Sep-73,39.5,27.3
Oct-73,53.4,32.4
Nov-73,38.4,34.5
Dec-73,119.1,33.8
Jan-74,109.8,39.7
Feb-74,144.4,35.6
Mar-74,152.0,37.4
Apr-74,49.9,34.6
May-74,1.5,28.2
Jun-74,3.6,22.2
Jul-74,3.0,23.1
Aug-74,13.8,25.1
Sep-74,12.9,28.1
Oct-74,11.5,34.2
Nov-74,13.2,37.6
Dec-74,47.1,39.1
Jan-75,104.6,42.8
Feb-75,127.7,38.1
Mar-75,206.5,41.3
Apr-75,32.9,34.1
May-75,28.0,27.3
Jun-75,8.5,22.4
Jul-75,0.9,22.2
Aug-75,8.4,24.5
Sep-75,14.9,27.3
Oct-75,12.9,33.5
Nov-75,23.7,33.8
Dec-75,71.9,38.2
Jan-76,147.3,42.9
Feb-76,165.5,41.0
Mar-76,140.7,41.2
Apr-76,20.6,34.5
May-76,14.0,30.0
Jun-76,4.4,26.1
Jul-76,4.1,28.0
Aug-76,7.5,30.1
Sep-76,26.3,31.4
Oct-76,9.2,37.1
Nov-76,2.1,40.2
Dec-76,86.0,46.7
Jan-77,106.9,49.3
Feb-77,283.5,43.7
Mar-77,188.1,48.0
Apr-77,61.7,39.3
May-77,19.0,31.6
Jun-77,1.1,25.6
Jul-77,0.9,26.7
Aug-77,0.3,29.1
Sep-77,5.5,32.7
Oct-77,10.8,37.7
Nov-77,64.9,39.3
Dec-77,54.2,45.1
Jan-78,81.5,46.8
Feb-78,125.4,44.7
Mar-78,90.7,45.5
Apr-78,36.4,36.6
May-78,2.2,30.2
Jun-78,2.9,23.5
Jul-78,2.8,23.9
Aug-78,1.8,27.3
Sep-78,15.3,30.5
Oct-78,25.4,35.8
Nov-78,43.8,40.4
Dec-78,44.1,43.3
Jan-79,39.4,47.0
Feb-79,148.3,41.2
Mar-79,186.7,43.6
Apr-79,28.5,36.9
May-79,1.7,30.6
Jun-79,1.1,25.3
Jul-79,0.3,26.9
Aug-79,0.6,30.5
Sep-79,10.5,32.6
Oct-79,14.9,37.3
Nov-79,12.0,38.7
Dec-79,54.2,42.9
Jan-80,92.9,47.1
Feb-80,51.0,44.3
Mar-80,134.0,46.0
Apr-80,28.7,38.9
May-80,2.4,32.2
Jun-80,3.0,26.6
Jul-80,10.7,27.0
Aug-80,4.7,29.2
Sep-80,6.6,32.9
Oct-80,93.9,37.6
Nov-80,56.1,39.4
Dec-80,51.9,44.0
Jan-81,116.5,45.5
Feb-81,210.8,43.0
Mar-81,170.7,45.2
Apr-81,34.9,37.4
May-81,1.9,31.1
Jun-81,0.8,25.6
Jul-81,0.3,26.5
