Station_A,Station_B,Station_C,Station_D,Station_E,Station_F
988.1,33,590.5,949.9,532.9,73
608,10.8,518.4,757.1,575.5,31.9
934.2,32.7,661.7,984.5,558.5,81.4
891.8,6.1,447.6,329.4,172.5,10.9
1250.2,14.8,556.9,701.4,543,30.4
1078.4,17.6,659.7,816.4,460,52.7
1171.3,72.8,768.3,960,909.5,165.3
1236.9,85,589.8,1014.1,611,198.5
1114.5,39.4,618.1,955.1,621.5,57.8
603.3,9.7,703.9,655.9,544,25.3
1176,35.3,867.5,619.5,697.5,68.8
1044.3,13.6,570.9,925.4,544.5,36.3
966.4,25.8,662.4,379.8,363,74.3
759.3,16.5,403.1,446.3,331.1,42.6
809.8,12.4,552,536.9,426.5,29.4
472.2,5,334.4,251,255.1,8.5
908.4,31.9,795.7,664.1,438.5,94.9
561.5,5,684.5,374.1,335.5,3.2
2497,350.9,827.7,835.7,623.6,547.1
1192.7,21.4,851.4,1953.9,490,80.3
671.4,10,529.6,942.9,149,23.9
759.4,27.3,533.2,837.1,388.5,27.4
899.6,19.8,483.9,1698.3,439,93.9
577.8,11,584.5,1179.4,391,32.6
1318.3,9.4,720.2,2172.1,674.2,29.5
559.8,4.5,537.9,1044.3,346,20.7
767.5,8.4,621.1,1525.1,342,44.8
1132.9,41,417.6,1505.2,248.3,96.9
1314.1,16.2,730.3,908.9,695.3,82.6
1023.4,41.5,887.1,1329.3,530,76.4
865,9.1,576.2,603.7,343,62.2
573.3,12.7,580.7,692.1,455.4,54.3
542,6.8,509.2,649.9,292,65.2
2040,310.8,918.3,2583.7,620.8,603.2
1424.6,51.7,746.2,1230.1,619,78.8
1473.2,21.3,732.4,995,637.7,45.6
1357.9,78.7,877.1,1055.6,626.1,62.2
1183.2,43.7,608.1,1107.6,743.4,39.9
799,13.8,614.5,620.8,481.4,28.6
503.9,30.3,532.5,609.6,357.6,12.7
965.8,10.1,643.7,666,505.6,21.2
1342.3,29.6,742.5,1005.5,719.8,30
782.6,11,642.7,647.2,437.7,24
2073.2,39.8,780.1,1304.6,938.8,66.8
1452.6,16.6,794.9,1027.3,799.8,35.2
1048.3,43,722.8,729.3,640.3,48.2
915,20.3,598.3,665.5,617.8,32.4
