station,EL_ALTO,LA_ESPERANZA,LAMBAYEQUE,CAYALTI,TALLA,REQUE,JAYANCA (LA VIÑA),BERNAL,PANALA,RICA PLAYA,PUERTO PIZARRO,MIRAFLORES,MORROPON,OLMOS,TINAJONES,PUCHACA,ELTIGRE,PANANGA,LANCONES,HDA_BIGOTE,ZAPOTILLO,AYABACA,HUARMACA,NIEPOS,INCAHUASI,SAN JUAN,LLAPA,CACHICADAN,SAPILLICA,CHALACO,CHUGUR,JULCAN,MOLLEPATA,CARIAMANGA,YANGANA,CELICA,CATACOCHA,COLAISACA,CASA_GRANDE,LAREDO,SANTA,BUENA_VISTA,VIRU,PARAMONGA,HUARMEY,HUAYAN,CANETE,LACAPILLA2,HDA_BERNALES,SAN CAMILO,COPARA,OCUCAJE,CHOSICA,ANTIOQUIA,PAMPA_BLANCA2,CONTUMAZA,CASCAS,MAGDALENA,SALPO,RECUAY,YUNGAY,CHIQUIAN,OYON,SAN BENITO,CHAMANA,AMBAR,LIVES,PUENTE CHILETE,CHACCHAN,CAJAMARQUILLA,PIRA,COTAPARACO,OCROS,ANDAJES,MATUCANA,PALLAC,HUAMANTANGA,LACHAQUI,HUAROS,HUAÑEC,CARANIA,HUANGASCAR,SJ_YANAC,CUSICANCHA,CHOCLOCOCHA,CORDOVA,YAUCA,CARAVELI,HUASACACHE-SBY,LA JOYA,PAMPA DE MAJES,MOQUEGUA,CALANA,APLAO,PAMPA BLANCA,LA PAMPILLA,LOCUMBA,SAMA GRANDE,QUINISTAQUILLAS,PUQUIO,CORACORA,PAUZA,SALAMANCA,EL FRAYLE,CANDARAVE,ANDAHUA,CHICHAS,MACHAHUAY,CHACHAS,AYO,CHOCO,HUAMBO...113,PAMPA DE ARRIEROS,LAS SALINAS,CALACOA,CONDOROMA,CHIVAY,IMATA,CRUCERO ALTO,ICHUNA,LUCANAS,LAMPA,CHINCHAYLLAPA,ORCOPAMPA,CABANACONDE,MADRIGAL,TISCO,PILLONES,PAMPA UMALZO (TITIJO,A.WEBERBAUER,CABANILLAS,CACHACHI,CHALLAPALCA,CHAVIN,CHILCAYOC,COCHABAMBA,CUEVA BLANCA,H.SHUMAYA,LIRCAY,MARCAPOMACOCHA,MAZO CRUZ,NAMORA,PAMPAHUTA,QUEROCOTILLO
lat,-4.2725,-4.917778,-6.70361,-6.89778,-7.266389,-6.89806,-6.32167,-5.49139,-6.183611,-3.81333,-3.50833,-5.166667,-5.18361,-5.991944,-6.645278,-6.35028,-3.76694,-4.55917,-4.57611,-5.33889,-4.3825,-4.64389,-5.57611,-6.93167,-6.23722,-7.28806,-6.99972,-8.10167,-4.783333,-5.03389,-6.67778,-8.05083,-8.18611,-4.333333,-4.368055,-4.104722,-4.055833,-4.316667,-7.75,-8.083611,-8.983334,-9.43361,-8.416667,-10.66667,-10.08333,-11.45028,-13.07478,-12.52169,-13.75,-14.06778,-14.96667,-14.38333,-11.93333,-12.08361,-14.23694,-7.35583,-7.483333,-7.25417,-8.00028,-9.729195,-9.149639,-10.15028,-10.66694,-7.40667,-10.20731,-10.75,-7.08472,-7.22028,-9.53547,-9.63326,-9.58353,-9.98361,-10.4,-10.78361,-11.83939,-11.35028,-11.50028,-11.55028,-11.40028,-12.28361,-12.34467,-12.89883,-13.20833,-13.49139,-13.10028,-14.03389,-15.66667,-15.77139,-16.46667,-16.59222,-16.32778,-17.16917,-17.94889,-16.06944,-17.06861,-16.40339,-17.60972,-17.78394,-16.77944,-14.71167,-15.0115,-15.28806,-15.50028,-16.08472,-17.27111,-15.49361,-15.54472,-15.64528,-15.49889,-15.67917,-15.56694,-15.73361,-16.06333,-16.31806,-16.74556,-15.4,-15.63806,-15.83667,-15.76694,-16.13261,-14.62694,-15.18639,-14.91694,-15.26083,-15.61861,-15.61667,-15.35,-15.97889,-16.875,-7.15222,-15.64389,-7.4575,-17.23722,-9.586028,-13.86694,-6.45722,-6.11833,-5.37278,-12.9825,-11.40472,-16.74556,-7.20333,-15.49139,-6.27111
long,-81.22395,-81.06055,-79.92139,-79.55889,-79.42494,-79.84722,-79.77944,-80.7625,-79.91695,-80.4575,-80.45722,-80.61667,-79.98361,-79.72833,-79.41666,-79.46694,-80.45028,-80.89806,-80.49139,-79.79639,-80.23639,-79.72861,-79.52528,-79.11833,-79.33889,-78.49111,-78.83028,-78.1525,-79.98333,-79.83,-78.74556,-78.49111,-77.96583,-79.55444,-79.17472,-79.95139,-79.64445,-79.69305,-79.18333,-78.85028,-78.61667,-78.20028,-78.75,-77.78333,-78.16666,-77.11694,-76.33041,-76.49314,-75.95,-75.72861,-74.9,-75.66666,-76.73333,-76.50028,-75.10361,-78.83028,-78.81667,-78.66056,-78.61694,-77.45375,-77.75075,-77.15028,-76.76694,-78.93167,-77.55867,-77.28333,-79.03389,-78.84722,-77.77558,-77.74136,-77.70725,-77.58361,-77.4,-76.90028,-76.37828,-76.80028,-76.75028,-76.61694,-76.56694,-76.13361,-75.87242,-75.83394,-75.79166,-75.305,-75.03361,-75.16944,-74.51667,-73.36167,-71.55,-71.91889,-72.21083,-70.93167,-70.18611,-72.49056,-71.72278,-71.51683,-70.76222,-70.48819,-70.89778,-74.13556,-73.77927,-73.35583,-72.83361,-71.18722,-70.25389,-72.34917,-72.91667,-72.50222,-72.26722,-72.27028,-72.11694,-72.10028,-71.58917,-71.14833,-70.6775,-71.3,-71.59694,-71.08778,-70.91694,-70.55209,-74.23722,-73.35583,-72.73361,-72.33889,-71.96861,-71.81167,-71.45,-71.21361,-70.42356,-78.49139,-70.33861,-78.27111,-69.81306,-77.17528,-73.71694,-78.89806,-79.40667,-79.35583,-74.72861,-76.32531,-69.71167,-78.33889,-70.6775,-79.03389
Z,274,5,15,70,111,12,79,9,77,127,2,34,116,194,198,832,69,502,127,822,177,2835,2142,2649,2678,2474,2931,2876,1516,1776,2715,3487,2908,1978,1884,2031,1840,2484,144,253,18,215,76,120,8,352,116,415,318,408,597,307,1289,1876,1016,2593,1236,1259,3309,3418,2527,3344,3695,1650,1232,2400,1785,966,2242,3342,3642,3131,3154,2686,2418,2604,3376,3949,3783,3511,3862,2524,2725,3674,5074,3069,61,1756,2276,1278,1442,1439,871,624,110,2393,646,534,1565,2989,3150,2652,3364,4269,3441,3536,2216,3130,3121,1974,3178,3520,3716,4322,3312,4280,3661,4446,4484,3904,3275,3130,4522,3802,3370,3239,4190,4423,4576,2677,3919,3273,4271,3131,3508,1916,3263,2063,3530,4437,3980,2786,4294,1961
Jan-2008,55.5999984741211,16.8999996185303,2.09999990463257,5.80000019073486,3.59999990463257,3.59999990463257,4.59999990463257,0.899999976158142,#N/A,152.399993896484,135.199996948242,7.19999980926514,55.7999992370605,#N/A,35.0999984741211,38.2000007629395,139.5,78.0999984741211,26.2000007629395,91.8000030517578,185.5,201.800003051758,314.200012207031,133,71.6999969482422,271,132.100006103516,135.5,139.899993896484,257.299987792969,254.699996948242,156.600006103516,117.099998474121,237,194.899993896484,318.299987792969,278.799987792969,241.800003051758,#N/A,#N/A,#N/A,0,#N/A,0.0464285723865032,0.100000001490116,0,5.19999980926514,2.29999995231628,5.5,18.2999992370605,5.5,7.5,7.30000019073486,16.7000007629395,24.8999996185303,84.1999969482422,#N/A,96,109.300003051758,107.900001525879,119.900001525879,191.600006103516,108.800003051758,125.599998474121,35.7000007629395,83.8000030517578,110.800003051758,42.7999992370605,103.300003051758,324.700012207031,136.5,63.0999984741211,57.0999984741211,100,75.5,102.099998474121,100.5,116.300003051758,102.900001525879,164.899993896484,212.600006103516,101.300003051758,84.5,141.699996948242,311.100006103516,182.800003051758,#N/A,15.5,86.5,0,30.2999992370605,11.3000001907349,5.19999980926514,16.8999996185303,22.3999996185303,106.400001525879,0,1,68.5999984741211,178.100006103516,177.100006103516,78.5,164.800003051758,135.100006103516,61.5999984741211,152.300003051758,150.199996948242,181.100006103516,134.300003051758,99.1999969482422,109.800003051758,186.5,191.100006103516,132.100006103516,226.199996948242,#N/A,109.800003051758,150.5,196.300003051758,174.199996948242,296.600006103516,80.1999969482422,244.800003051758,166.100006103516,201.899993896484,200,257.799987792969,136.899993896484,47.4000015258789,80.24,266.6,165.9,175.4,100.7,248.9,79.9,70.6,#N/A,197.2,190.5,194.4,#N/A,196.3,#N/A
Feb-2008,32.0999984741211,108.900001525879,9.30000019073486,16.7999992370605,23.2999992370605,6.40000009536743,61.5999984741211,27.7000007629395,#N/A,513.400024414063,265.600006103516,92.3000030517578,581.400024414063,#N/A,131.899993896484,196.800003051758,328.100006103516,171.699996948242,304.899993896484,472.600006103516,463.899993896484,473.299987792969,607.200012207031,322,270.5,301.5,255.399993896484,130.899993896484,148.100006103516,449.100006103516,481.100006103516,243,113.699996948242,458.600006103516,276,522.900024414063,381.600006103516,772.599975585938,#N/A,#N/A,#N/A,0,#N/A,0.730000019073486,0.699999988079071,0,0.899999976158142,0.5,2.09999990463257,16.5,1.5,0,12.1000003814697,28.5,24.5,343.100006103516,#N/A,146.5,134.699996948242,116.599998474121,119.800003051758,148.800003051758,136,222.300003051758,24.7999992370605,76.9000015258789,236.199996948242,131.5,83,332.600006103516,178.600006103516,88.0999984741211,72.8000030517578,159.600006103516,112.199996948242,125.900001525879,97.5999984741211,157.199996948242,125.099998474121,233.899993896484,197.100006103516,122.5,88.4000015258789,216.100006103516,190.600006103516,218.600006103516,#N/A,7.09999990463257,13.3999996185303,0,0,0.899999976158142,0,0,22.1000003814697,23.7000007629395,0,0,16.8999996185303,115.199996948242,181.899993896484,36.4000015258789,52.2000007629395,80.5999984741211,34.7999992370605,48.5999984741211,23.6000003814697,52,40.7000007629395,8,31.3999996185303,31.5,81,72,154.5,#N/A,31.3999996185303,85.8000030517578,53.5999984741211,91.5999984741211,158.199996948242,54.5999984741211,120.199996948242,51,74.6999969482422,103.199996948242,123.5,90.1999969482422,41.5,133.3,74.5,164,128.7,96.21,165.3,254.6,238.2,#N/A,121,125.6,52.72,#N/A,68.2,#N/A
Mar-2008,21.7000007629395,21.2999992370605,23.2999992370605,27.5,14.1000003814697,22.6000003814697,105.300003051758,13.5,#N/A,311.899993896484,109.599998474121,54.0999984741211,444,#N/A,72.0999984741211,235,183,262.100006103516,265.700012207031,521.400024414063,683.400024414063,333.399993896484,524.700012207031,317.200012207031,158.699996948242,229.399993896484,219.600006103516,147.399993896484,215.399993896484,397.100006103516,325.399993896484,188.699996948242,148.600006103516,400.700012207031,409.200012207031,451.299987792969,318,456.200012207031,#N/A,#N/A,#N/A,0,#N/A,2.79999995231628,0.100000001490116,2.5,4,0.5,1,0.699999988079071,0.400000005960464,0.100000001490116,1.5,67.8000030517578,5.80000019073486,213,#N/A,116.599998474121,145.5,124.300003051758,235.199996948242,92.1999969482422,100.699996948242,203.899993896484,41.7000007629395,145.699996948242,264,79.9000015258789,133.399993896484,554.799987792969,186.399993896484,160.899993896484,137.899993896484,107.900001525879,72.1999969482422,148.600006103516,117.800003051758,146.5,89.0999984741211,111.300003051758,81.5,74,51.5,197.600006103516,129.5,77.0999984741211,#N/A,0,1.29999995231628,0,0,5,0,0,4.40000009536743,2.40000009536743,0,0,1.60000002384186,90,107.900001525879,12.1000003814697,17.3999996185303,69.6999969482422,18.1000003814697,14.6999998092651,13.5,11.1999998092651,19.1000003814697,5,11.6000003814697,21.6000003814697,30.2000007629395,84.4000015258789,224.600006103516,#N/A,11.6000003814697,46.7000007629395,38,67.8000030517578,143.5,64.4000015258789,57.0999984741211,44.5,38.5,73.6999969482422,70,49.2999992370605,82.8000030517578,118.4,65.1,122.1,54.7,105.7,113.4,176.2,169.4,#N/A,48,116.1,57.9,#N/A,84.2,#N/A
Apr-2008,0.800000011920929,2.59999990463257,5.09999990463257,3.40000009536743,0.699999988079071,3.59999990463257,4.90000009536743,0,#N/A,38.5999984741211,22.7000007629395,35.9000015258789,81,#N/A,115.400001525879,147,55.0999984741211,62.5999984741211,98.5999984741211,181.899993896484,150.699996948242,417,408.700012207031,191.5,106.300003051758,195.5,145.300003051758,130.300003051758,329.899993896484,224.699996948242,236.699996948242,123.900001525879,84.3000030517578,440.299987792969,126.199996948242,276.700012207031,307.899993896484,566.599975585938,#N/A,#N/A,#N/A,0,#N/A,0,0.100000001490116,0,0,0,0,1.60000002384186,0,0.200000002980232,0,0.600000023841858,3.09999990463257,194.399993896484,#N/A,38.7999992370605,138.100006103516,72,98.0999984741211,71,49.9000015258789,88.1999969482422,0,27.6000003814697,136,34.2999992370605,28.5,325.899993896484,78.8000030517578,36.0999984741211,19,35.2000007629395,14.1999998092651,25,21,38.2999992370605,22.7999992370605,29,13.8000001907349,10.3999996185303,3.20000004768372,51.5,77.5,10.3999996185303,#N/A,0,0,0,0,0,0.200000002980232,0,2.5,0,0,0,0,3.20000004768372,10.1000003814697,0,4.09999990463257,0,0,0.5,0,0,0,0,0,0,0,0,0,#N/A,0,1.29999995231628,0.300000011920929,0,28.2999992370605,0,0,0,0,0,5.5,0.200000002980232,5,99.12,6.3,143.4,0,86.81,16.9,157.3,172.8,#N/A,27.5,37,1.41,#N/A,5.8,#N/A
May-2008,0,0.5,0,0,0,0,0,0,#N/A,17.8999996185303,0,1,2,#N/A,3.79999995231628,10.8999996185303,12.6999998092651,0,9.5,6.5,5,85.8000030517578,38.2999992370605,37.7999992370605,20.8999996185303,30,35.2000007629395,16.5,7,52.9000015258789,104.099998474121,9.89999961853027,12.8000001907349,95.0999984741211,89.0999984741211,52,50.5999984741211,97.8000030517578,#N/A,#N/A,#N/A,0,#N/A,0.0500000007450581,0.100000001490116,1,5.90000009536743,0,0.200000002980232,0.100000001490116,0.200000002980232,0.300000011920929,0,0,0,2.09999990463257,#N/A,4.30000019073486,5.90000009536743,7.90000009536743,9.19999980926514,1,0,0,0,0,3.09999990463257,1.39999997615814,0,0,0.200000002980232,0,0,0,1.72000002861023,0,0,0,0,0,0,0,0,0,4.40000009536743,0,#N/A,0,0,0,0,0,0.200000002980232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,0,0,0,4.19999980926514,0,0,0,3.20000004768372,0,0,22.72,0,18.4,0,28.8,9,117.6,61.9,#N/A,23.4,6.9,0,#N/A,0.5,#N/A
Jun-2008,0,0,0,1.79999995231628,2.79999995231628,0.300000011920929,0,0,#N/A,3.5,0,0.300000011920929,0.200000002980232,#N/A,0.5,7.40000009536743,2.90000009536743,0,0,1,2.90000009536743,16.2000007629395,12.5,30,21.3999996185303,5.19999980926514,13.1000003814697,7.80000019073486,6.59999990463257,17.8999996185303,28.6000003814697,27.2999992370605,11.3999996185303,14.8000001907349,67.5,12.6999998092651,10,38.0999984741211,#N/A,#N/A,#N/A,0,#N/A,1.89999997615814,0,5.59999990463257,3.90000009536743,1.39999997615814,0,0.100000001490116,0.300000011920929,0.5,0,0,0,4.90000009536743,#N/A,1.70000004768372,14.8999996185303,5.59999990463257,15.3999996185303,0,5.19999980926514,1.10000002384186,0,0,0,0,0,0,2.5,0,1.60000002384186,0,0.180000007152557,0,0,0,0,0,0,0,0,0,20.2999992370605,0,#N/A,0,0,0,0,0,2.90000009536743,0,0,0,0.200000002980232,0,0,0,0,0,0,0.800000011920929,0,1.10000002384186,0,0,0.699999988079071,0,0,0.800000011920929,0,0.400000005960464,0,#N/A,0,0.100000001490116,0,0,0,0,0,0,0,0,2.70000004768372,2.20000004768372,0,15.45,0.2,21.4,0,16.9,#N/A,41.2,31.1,#N/A,9.7,7.4,0,#N/A,3.9,#N/A
Jul-2008,0,0,0,1.39999997615814,0,0.5,0.300000011920929,0.200000002980232,#N/A,1.60000002384186,0,2.29999995231628,0.5,#N/A,2.70000004768372,0,0.5,0,0,0,1.79999995231628,0.600000023841858,3.09999990463257,23.3999996185303,15.8000001907349,0.600000023841858,5,1.20000004768372,1.60000002384186,0.5,41.4000015258789,6,0,8.05745983123779,69.1999969482422,20.2000007629395,2,0.200000002980232,#N/A,#N/A,#N/A,0,#N/A,0.5,0,1.20000004768372,0,0,0,0,0.300000011920929,0.100000001490116,0,0,0.100000001490116,0,#N/A,0.899999976158142,7.40000009536743,13.6000003814697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09999990463257,0,#N/A,0,0,0,0,0,0.100000001490116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,0,0,6.90000009536743,0,0,0,0,0.100000001490116,0,0,2.31,0,0,0,2.3,0,3.6,24.2,#N/A,4.1,4.7,0,#N/A,0,#N/A
