station,AEROPUERTO INTERNACI,ALCANTARILLA,ANDAHUASI,APLAO,AREQUIPA,AYABACA,BUENA VISTA,CAJATAMBO,CALANA,CAMANA,CAMAY,CANDARAVE,CAÑETE,CARAVELI,CAYALTI,CHICLAYO,CHIMBOTE,CHIQUIAN,CHIVAY,CHULUCANAS,CHUQUIBAMBA,CHUSIS,CONTUMAZA,COPARA,CORACORA,COTAHUASI,EL ESPINAL,EL FRAYLE,EL SALTO,FERREÑAFE,HACIENDA BERNALES,HUAMANI,HUANCANO,HUAYAN,IMATA,JAYANCA (LA VIÑA),LA ESPERANZA,LA HACIENDITA,LA JOYA,LA PAMPILLA,LAMBAYEQUE,LAREDO,LLAMA,LOCUMBA,LOMAS DE LACHAY,MALLARES,MATUCANA,MIRAFLORES,MOQUEGUA,MORROPON,MOTUPE,ÑAÑA,OCUCAJE,OLMOS,OMATE,PACARAN,PAMPA BLANCA,PAMPA DE MAJES,PAMPA DE VILLACURI
lat,-12.02424,-11.05028,-11.13361,-16.06944,-16.34378,-4.64389,-9.43361,-10.46694,-17.94889,-16.60667,-10.91325,-17.27111,-13.07506,-15.77139,-6.89778,-6.7813,-9.15054,-10.15028,-15.63806,-5.10167,-15.83806,-5.52528,-7.35583,-14.98278,-15.01694,-15.37472,-6.82556,-16.08472,-3.44056,-6.72833,-13.7625,-13.84722,-13.62694,-11.45028,-15.83667,-6.32167,-4.93194,-16.99917,-16.5925,-16.40339,-6.70361,-8.08361,-6.50806,-17.60972,-11.36694,-4.86417,-11.83939,-5.16944,-17.16917,-5.18361,-6.15028,-11.98881,-14.38361,-5.76222,-16.6775,-12.86206,-14.23722,-16.32778,-13.95028
long,-77.11091,-77.55028,-77.23361,-72.49056,-71.56606,-79.72861,-78.20028,-76.98361,-70.18611,-72.69694,-77.64917,-70.25389,-76.33069,-73.36167,-79.55889,-79.82648,-78.52591,-77.15028,-71.59694,-80.16944,-72.64861,-80.84722,-78.83028,-74.915,-73.78361,-72.89111,-79.21639,-71.18722,-80.32194,-79.77917,-75.96583,-75.59306,-75.67778,-77.11694,-71.08778,-79.77944,-81.06778,-71.58861,-71.91917,-71.51683,-79.92139,-78.85028,-79.11861,-70.76222,-77.36694,-80.74556,-76.37828,-80.62694,-70.93167,-79.98361,-79.73361,-76.83911,-75.66694,-79.86389,-70.9825,-76.05508,-75.10167,-72.21083,-75.80028
Z,22,133,806,624,2545,2835,215,4049,871,29,59,3441,114,1756,70,29,14,3344,3661,86,2832,5,2593,567,3177,5088,460,4269,2,42,295,1024,849,352,4446,79,6,282,1278,2393,15,253,2031,646,259,40,2418,41,1439,116,123,523,307,120,2065,687,1073,1442,438
Jan-2008,#N/A,23.65,#N/A,23.761290325,#N/A,13.087096775,25.28870968,9.917741937,21.037096775,#N/A,20.55,11.2645161275,#N/A,19.808064515,27.39032258,#N/A,#N/A,13.2467741935,11.224193547,27.32580645,9.370967741,26.47096774,14.077419355,24.8,12.0145161315,15.377419355,#N/A,7.51935484,#N/A,#N/A,23.537096775,21.777419355,#N/A,23.70483871,5.32924731,25.92580645,25.63387097,#N/A,20.25806452,16.038709675,23.562903225,#N/A,15.19516129,#N/A,22.456451615,27.2,14.56935484,27.48387097,19.933870965,26.82096774,#N/A,21.812903225,25.23387097,#N/A,17.99516129,23.567741935,21.772580645,19.27903226,#N/A
Feb-2008,#N/A,24.263793105,#N/A,23.44137931,#N/A,12.76896552,26.18793103,9.4551724145,20.687931035,#N/A,20.6137931,10.8724137935,#N/A,19.653448275,28.26551724,#N/A,#N/A,12.144827588,11.032758621,27.20862069,9.0655172395,27.41724138,13.774137935,25.796551725,11.43965517,15.386206897,#N/A,7.387931034,#N/A,#N/A,24.177458495,23.120689655,#N/A,24.75862069,5.6254926095,26.968965515,27.08103448,#N/A,19.779310345,15.50689655,25.38103448,#N/A,15.279310345,#N/A,24.018965515,27.956896555,14.337931035,28.062068965,20.05,26.681034485,#N/A,22.844827585,25.686206895,#N/A,17.598275865,24.47586207,23.12758621,19.30689655,#N/A
Mar-2008,#N/A,23.92096774,#N/A,22.89032258,#N/A,13.053225805,26.303225805,8.991935484,20.26935484,#N/A,20.58709677,11.033870967,#N/A,19.79516129,28.44516129,#N/A,#N/A,12.667741935,10.9193548395,27.27096774,9.3064516125,28.048387095,13.733870965,25.4516129,10.8629032235,15.5564516135,#N/A,7.2629032265,#N/A,#N/A,24.13870968,24.10645161,#N/A,24.125806455,4.8709677445,27.122580645,27.45096774,#N/A,19.62903226,15.482258065,25.506451615,#N/A,15.66935484,#N/A,23.99516129,28.325806455,14.167741935,28.45806452,19.90645161,26.81935484,#N/A,22.412903225,25.16612903,#N/A,17.045161289,24.762903225,23.772580645,19.07580645,#N/A
Apr-2008,#N/A,21.348333335,#N/A,20.771666665,#N/A,13.191666665,24.496666665,9.8116666685,17.20666667,#N/A,20.788333335,9.4183333335,#N/A,18.94,26.25333333,#N/A,#N/A,12.2250000015,10.1866666665,26.355,9.8099999985,25.936666665,14.1150000015,23.46833333,10.9266666685,15.163333335,#N/A,4.8983333335,#N/A,#N/A,22.858333335,23.16333333,#N/A,23.553333335,2.9333333335,25.263333335,26.061666665,#N/A,18.37666667,14.9016666685,22.415,#N/A,16.203333335,#N/A,22.57,27.345,14.795,26.623333335,18.863333335,26.011666665,#N/A,21.746666665,23.148333335,#N/A,16.2199999985,23.811666665,22.54166667,17.616666665,#N/A
May-2008,#N/A,17.658064515,#N/A,17.390322581,#N/A,13.503225805,21.256451615,9.761290322,14.427419355,#N/A,20.116129035,9.1870967725,#N/A,18.7516129035,23.396774195,#N/A,#N/A,11.8500000015,8.6419354835,23.967741935,9.761290321,23.49354839,13.946774193,20.112903225,10.1903225805,14.5048387095,#N/A,2.2193548405,#N/A,#N/A,18.432258065,19.848387095,#N/A,20.358064515,0.141935484999999,22.458064515,24.437096775,#N/A,17.3129032255,13.982258065,20.312903225,#N/A,16.406451615,#N/A,16.89516129,24.9,14.4596774175,24.1516129,18.2322580665,23.822580645,#N/A,20.532258065,19.6467741925,#N/A,15.7806451595,20.33064516,20.103225805,16.6064516115,#N/A
Jun-2008,#N/A,17.885,#N/A,15.9700000015,#N/A,13.645,20.1,10.361666665,13.181666665,#N/A,20.18333333,8.838333335,#N/A,18.5833333315,23.08,#N/A,#N/A,11.7883333335,8.5466666685,22.595,9.9266666685,21.99,14.0266666685,17.0816666665,10.7416666665,14.7916666685,#N/A,2.18,#N/A,#N/A,16.591666665,16.218333335,#N/A,18.353333335,-0.300000000000001,21.14,23.325,#N/A,15.9333333315,14.186666665,20.36166667,#N/A,17.54,#N/A,14.88,23.42166667,14.878333335,22.88333333,17.5300000015,22.358333335,#N/A,18.266666665,17.0016666665,#N/A,15.4800000015,17.698333335,17.53,15.7333333335,#N/A
Jul-2008,#N/A,18.27096774,#N/A,15.493548389,#N/A,13.446774192,20.28064516,9.6999999985,12.5161290335,#N/A,20.51612903,8.680645162,#N/A,18.427419357,22.44193548,#N/A,#N/A,11.056451613,8.9758064495,22.480645165,10.032258065,21.81612903,13.79032258,15.8451612905,10.56451613,15.0983870975,#N/A,1.832258065,#N/A,#N/A,16.530645165,15.1007526885,#N/A,17.18709677,-0.883870965,20.858064515,22.75645161,#N/A,15.764516127,13.9387096795,20.09032258,#N/A,18.47580645,#N/A,13.85483871,23.6,14.7290322575,22.7483871,17.506451614,22.55806452,#N/A,17.451612905,16.51935484,#N/A,14.993548387,17.4,16.974193547,15.6612903205,#N/A
